"bid","site","treatment","date","time","plant_species","poll_species","poll_genus","poll_simple","pollinia","corbs","X"
"C135","gf1","damage",2018-07-13,"14:55:00","milkweed","Apis mellifera","Apis","Apis",2,0,""
"C136","gf1","damage",2018-07-13,"14:52:00","milkweed","Bombus vagans","Bombus","Bombus",4,0,""
"C16","gf1","control",2018-07-11,"00:59:00","milkweed","Apis mellifera","Apis","Apis",7,0,""
"C17","gf1","control",2018-07-11,"13:08:00","milkweed","Apis mellifera","Apis","Apis",10,0,""
"C18","gf1","control",2018-07-11,"13:09:00","milkweed","Apis mellifera","Apis","Apis",2,0,""
"C19","gf1","damage",2018-07-11,"13:47:00","milkweed","Bombus griseocollis","Bombus","Bombus",0,0,""
"C2","gf1","control",2018-07-11,"09:52:00","milkweed","Apis mellifera","Apis","Apis",4,0,""
"C20","gf1","damage",2018-07-11,"13:49:00","milkweed","Apis mellifera","Apis","Apis",3,0,""
"C200","gf3","control",2018-07-16,"09:29:00","milkweed","Syrphus","Syrphus","Diptera",0,0,""
"C201","gf3","control",2018-07-16,"09:32:00","milkweed","Apis mellifera","Apis","Apis",0,0,""
"C202","gf3","control",2018-07-16,"09:35:00","milkweed","Bombus griseocollis","Bombus","Bombus",0,0,""
"C203","gf3","control",2018-07-16,"09:37:00","milkweed","Apis mellifera","Apis","Apis",5,0,""
"C205","gf3","control",2018-07-16,"09:41:00","milkweed","Lasioglossum","Lasiglossum","Other Bees",0,0,""
"C209","gf3","damage",2018-07-16,"10:52:00","milkweed","Bombus impatiens","Bombus","Bombus",0,0,""
"C21","gf1","damage",2018-07-11,"13:52:00","milkweed","Apis mellifera","Apis","Apis",8,0,""
"C212","gf3","control",2018-07-16,"00:22:00","milkweed","Bombus griseocollis","Bombus","Bombus",0,1,""
"C213","gf3","control",2018-07-16,"00:28:00","milkweed","Pollenia rudis","Pollenia","Diptera",0,0,""
"C214","gf3","control",2018-07-16,"00:32:00","milkweed","Bombus griseocollis","Bombus","Bombus",0,0,""
"C215","gf3","control",2018-07-16,"00:36:00","milkweed","Xylocopa virginica","Xylocopa","Other Bees",3,0,""
"C216","gf3","control",2018-07-16,"00:40:00","milkweed","Pollenia rudis","Pollenia","Diptera",0,0,""
"C22","gf1","damage",2018-07-11,"13:57:00","milkweed","Apis mellifera","Apis","Apis",2,0,""
"C23","gf1","damage",2018-07-11,"14:01:00","milkweed","Apis mellifera","Apis","Apis",3,0,""
"C24","gf1","damage",2018-07-11,"14:08:00","milkweed","Apis mellifera","Apis","Apis",14,0,""
"C25","gf1","damage",2018-07-11,"14:10:00","milkweed","Apis mellifera","Apis","Apis",4,0,""
"C26","gf1","damage",2018-07-11,"14:13:00","milkweed","Apis mellifera","Apis","Apis",3,0,""
"C3","gf1","control",2018-07-11,"09:57:00","milkweed","Apis mellifera","Apis","Apis",3,0,""
"C50","gf3","damage",2018-07-12,"09:07:00","milkweed","Apis mellifera","Apis","Apis",2,0,""
"C51","gf3","damage",2018-07-12,"09:15:00","milkweed","Bombus griseocollis","Bombus","Bombus",0,0,""
"C55","gf3","control",2018-07-12,"10:15:00","milkweed","Apis mellifera","Apis","Apis",10,0,""
"C56","gf3","control",2018-07-12,"10:22:00","milkweed","Bombus griseocollis","Bombus","Bombus",0,0,""
"C58","gf3","control",2018-07-12,"10:32:00","milkweed","Megachile ","Megachile","Other Bees",0,0,""
"C59","gf3","control",2018-07-12,"10:37:00","milkweed","Apis mellifera","Apis","Apis",2,0,""
"C6","gf1","control",2018-07-11,"10:09:00","milkweed","Bombus griseocollis","Bombus","Bombus",0,0,""
"C60","gf3","control",2018-07-12,"10:41:00","milkweed","Bombus griseocollis","Bombus","Bombus",0,0,""
"C61","gf3","control",2018-07-12,"10:42:00","milkweed","Bombus griseocollis","Bombus","Bombus",0,0,""
"C62","gf3","damage",2018-07-12,"00:06:00","milkweed","Apis mellifera","Apis","Apis",0,0,""
"C64","gf3","damage",2018-07-12,"00:26:00","milkweed","Apis mellifera","Apis","Apis",2,0,""
"C65","gf3","damage",2018-07-12,"00:32:00","milkweed","Apis mellifera","Apis","Apis",7,0,""
"C66","gf3","control",2018-07-12,"13:09:00","milkweed","Bombus griseocollis","Bombus","Bombus",0,1,""
"C68","gf3","control",2018-07-12,"13:13:00","milkweed","Bombus griseocollis","Bombus","Bombus",0,0,""
"C69","gf3","control",2018-07-12,"13:24:00","milkweed","Apis mellifera","Apis","Apis",2,0,""
"C7","gf1","damage",2018-07-11,"10:49:00","milkweed","Apis mellifera","Apis","Apis",7,0,""
"C8","gf1","damage",2018-07-11,"10:54:00","milkweed","Apis mellifera","Apis","Apis",0,0,""
"C9","gf1","damage",2018-07-11,"11:01:00","milkweed","Xylocopa virginica","Xylocopa","Other Bees",0,1,""
"D1","gf1","control",2018-07-11,"09:40:00","milkweed","Apis mellifera","Apis","Apis",5,0,""
"D100","gf1","damage",2018-07-13,"10:09:00","milkweed","Bombus impatiens","Bombus","Bombus",0,0,""
"D101","gf1","damage",2018-07-13,"10:14:00","milkweed","Apis mellifera","Apis","Apis",0,0,""
"D102","gf1","damage",2018-07-13,"10:18:00","milkweed","Bombus griseocollis","Bombus","Bombus",0,0,""
"D103","gf1","damage",2018-07-13,"10:20:00","milkweed","Apis mellifera","Apis","Apis",0,0,""
"D104","gf1","damage",2018-07-13,"10:26:00","milkweed","Bombus griseocollis","Bombus","Bombus",0,0,""
"D107","gf1","damage",2018-07-13,"10:34:00","milkweed","Bombus griseocollis","Bombus","Bombus",0,0,""
"D108","gf1","control",2018-07-13,"11:22:00","milkweed","Xylocopa virginica","Xylocopa","Other Bees",0,0,""
"D109","gf1","control",2018-07-13,"11:24:00","milkweed","Bombus griseocollis","Bombus","Bombus",0,0,""
"D11","gf1","damage",2018-07-11,"10:49:00","milkweed","Apis mellifera","Apis","Apis",7,0,""
"D110","gf1","control",2018-07-13,"11:27:00","milkweed","Bombus griseocollis","Bombus","Bombus",0,0,""
"D112","gf1","control",2018-07-13,"11:32:00","milkweed","Bombus griseocollis","Bombus","Bombus",0,0,""
"D113","gf1","control",2018-07-13,"11:33:00","milkweed","Bombus griseocollis","Bombus","Bombus",0,0,""
"D117","gf1","control",2018-07-13,"11:49:00","milkweed","Bombus vagans","Bombus","Bombus",4,1,""
"D118","gf1","damage",2018-07-13,"13:07:00","milkweed","Bombus griseocollis","Bombus","Bombus",0,0,""
"D119","gf1","damage",2018-07-13,"13:07:00","milkweed","Apis mellifera","Apis","Apis",5,0,""
"D12","gf1","damage",2018-07-11,"10:51:00","milkweed","Xylocopa virginica","Xylocopa","Other Bees",0,0,""
"D120","gf1","damage",2018-07-13,"13:07:00","milkweed","Bombus griseocollis","Bombus","Bombus",0,1,""
"D122","gf1","damage",2018-07-13,"13:18:00","milkweed","Xylocopa virginica","Xylocopa","Other Bees",1,0,""
"D124","gf1","damage",2018-07-13,"15:00:00","milkweed","Bombus griseocollis","Bombus","Bombus",0,0,""
"D125","gf1","damage",2018-07-13,"13:21:00","milkweed","Bombus griseocollis","Bombus","Bombus",0,0,""
"D126","gf1","damage",2018-07-13,"13:33:00","milkweed","Bombus vagans","Bombus","Bombus",1,0,""
"D128","gf1","control",2018-07-13,"14:24:00","milkweed","Bombus griseocollis","Bombus","Bombus",0,0,""
"D129","gf1","control",2018-07-13,"14:25:00","milkweed","Bombus griseocollis","Bombus","Bombus",0,0,""
"D13","gf1","damage",2018-07-11,"10:54:00","milkweed","Bombus griseocollis","Bombus","Bombus",0,1,""
"D130","gf1","control",2018-07-13,"14:26:00","milkweed","Xylocopa virginica","Xylocopa","Other Bees",0,0,""
"D132","gf1","control",2018-07-13,"14:39:00","milkweed","Bombus griseocollis","Bombus","Bombus",0,1,""
"D15","gf1","damage",2018-07-11,"11:01:00","milkweed","Danaus plexippus","Danaus","Lepidoptera",0,0,""
"D16","gf1","damage",2018-07-11,"11:02:00","milkweed","Bombus griseocollis","Bombus","Bombus",0,0,""
"D17","gf1","damage",2018-07-11,"11:05:00","milkweed","Apis mellifera","Apis","Apis",2,0,""
"D18","gf1","damage",2018-07-11,"11:07:00","milkweed","Apis mellifera","Apis","Apis",4,0,""
"D2","gf1","control",2018-07-11,"09:43:00","milkweed","Bombus vagans","Bombus","Bombus",2,0,""
"D21","gf1","damage",2018-07-11,"11:11:00","milkweed","Bombus vagans","Bombus","Bombus",6,0,""
"D22","gf1","damage",2018-07-11,"11:17:00","milkweed","Xylocopa virginica","Xylocopa","Other Bees",0,1,""
"D23","gf1","damage",2018-07-11,"11:19:00","milkweed","Other","Other","Other",0,0,""
"D24","gf1","control",2018-07-11,"00:44:00","milkweed","Bombus griseocollis","Bombus","Bombus",4,0,""
"D26","gf1","control",2018-07-11,"00:54:00","milkweed","Xylocopa virginica","Xylocopa","Other Bees",2,0,""
"D27","gf1","control",2018-07-11,"13:01:00","milkweed","Apis mellifera","Apis","Apis",16,0,""
"D28","gf1","control",2018-07-11,"13:08:00","milkweed","Xylocopa virginica","Xylocopa","Other Bees",0,0,""
"D29","gf1","control",2018-07-11,"13:09:00","milkweed","Bombus griseocollis","Bombus","Bombus",0,0,""
"D3","gf1","control",2018-07-11,"09:46:00","milkweed","Apis mellifera","Apis","Apis",5,0,""
"D31","gf1","damage",2018-07-11,"13:47:00","milkweed","Danaus plexippus","Danaus","Lepidoptera",0,0,""
"D33","gf1","damage",2018-07-11,"13:53:00","milkweed","Xylocopa virginica","Xylocopa","Other Bees",0,0,""
"D34","gf1","damage",2018-07-11,"13:55:00","milkweed","Bombus griseocollis","Bombus","Bombus",0,0,""
"D35","gf1","damage",2018-07-11,"13:58:00","milkweed","Bombus griseocollis","Bombus","Bombus",0,0,""
"D39","gf1","damage",2018-07-11,"14:11:00","milkweed","Megachile ","Megachile","Other Bees",0,0,""
"D4","gf1","control",2018-07-11,"09:48:00","milkweed","Apis mellifera","Apis","Apis",0,0,""
"D5","gf1","control",2018-07-11,"09:50:00","milkweed","Bombus griseocollis","Bombus","Bombus",0,1,""
"D50","gf3","damage",2018-07-12,"09:10:00","milkweed","Apis mellifera","Apis","Apis",2,0,""
"D52","gf3","damage",2018-07-12,"09:23:00","milkweed","Bombus griseocollis","Bombus","Bombus",0,0,""
"D54","gf3","damage",2018-07-12,"09:26:00","milkweed","Bombus griseocollis","Bombus","Bombus",0,0,""
"D55","gf3","damage",2018-07-12,"09:29:00","milkweed","Apis mellifera","Apis","Apis",7,0,""
"D56","gf3","damage",2018-07-12,"09:31:00","milkweed","Apis mellifera","Apis","Apis",8,0,""
"D57","gf3","control",2018-07-12,"10:15:00","milkweed","Bombus griseocollis","Bombus","Bombus",0,1,""
"D58","gf3","control",2018-07-12,"10:20:00","milkweed","Bombus griseocollis","Bombus","Bombus",0,0,""
"D6","gf1","control",2018-07-11,"09:55:00","milkweed","Apis mellifera","Apis","Apis",4,0,""
"D60","gf3","control",2018-07-12,"10:23:00","milkweed","Bombus griseocollis","Bombus","Bombus",0,0,""
"D61","gf3","control",2018-07-12,"10:28:00","milkweed","Apis mellifera","Apis","Apis",4,0,""
"D62","gf3","control",2018-07-12,"10:30:00","milkweed","Apis mellifera","Apis","Apis",11,0,""
"D63","gf3","control",2018-07-12,"10:35:00","milkweed","Apis mellifera","Apis","Apis",3,0,""
"D64","gf3","control",2018-07-12,"10:39:00","milkweed","Apis mellifera","Apis","Apis",8,0,""
"D65","gf3","control",2018-07-12,"10:40:00","milkweed","Bombus griseocollis","Bombus","Bombus",0,0,""
"D66","gf3","damage",2018-07-12,"00:07:00","milkweed","Bombus griseocollis","Bombus","Bombus",0,0,""
"D68","gf3","damage",2018-07-12,"00:16:00","milkweed","Bombus griseocollis","Bombus","Bombus",0,0,""
"D69","gf3","damage",2018-07-12,"00:19:00","milkweed","Apis mellifera","Apis","Apis",4,0,""
"D7","gf1","control",2018-07-11,"09:56:00","milkweed","Apis mellifera","Apis","Apis",5,0,""
"D71","gf3","damage",2018-07-12,"00:27:00","milkweed","Apis mellifera","Apis","Apis",4,0,""
"D72","gf3","control",2018-07-12,"13:09:00","milkweed","Bombus griseocollis","Bombus","Bombus",0,0,""
"D73","gf3","control",2018-07-12,"13:16:00","milkweed","Bombus vagans","Bombus","Bombus",0,NA,""
"D74","gf3","control",2018-07-12,"13:11:00","milkweed","Bombus griseocollis","Bombus","Bombus",0,0,""
"D77","gf3","control",2018-07-12,"13:24:00","milkweed","Xylocopa virginica","Xylocopa","Other Bees",6,0,""
"D79","gf3","control",2018-07-12,"13:29:00","milkweed","Apis mellifera","Apis","Apis",11,0,""
"D80","gf3","control",2018-07-12,"13:31:00","milkweed","Bombus griseocollis","Bombus","Bombus",0,0,""
"D81","gf3","control",2018-07-12,"13:39:00","milkweed","Xylocopa virginica","Xylocopa","Other Bees",0,0,""
"A10","gf1","control",2018-07-11,"11:02:00","vetch","Bombus griseocollis","Bombus","Bombus",0,1,"y"
"A11","gf1","control",2018-07-11,"11:08:00","vetch","Andrena","Andrena","Other Bees",0,0,"y"
"A128","gf1","damage",2018-07-13,"13:21:00","vetch","Bombus impatiens","Bombus","Bombus",0,0,"y"
"A24","gf1","control",2018-07-11,"14:03:00","vetch","Bombus griseocollis","Bombus","Bombus",0,1,"y"
"A7","gf1","control",2018-07-11,"10:53:00","vetch","Andrena","Andrena","Other Bees",0,0,"y"
"B106","gf1","control",2018-07-13,"10:24:00","vetch","Andrena","Andrena","Other Bees",0,1,"y"
"B160","gf1","damage",2018-07-13,"14:49:00","vetch","Bombus vagans","Bombus","Bombus",2,0,""
"B207","gf3","control",2018-07-16,"09:46:00","vetch","Diptera","Diptera","Diptera",0,0,"y"
"B212","gf3","damage",2018-07-16,"10:44:00","vetch","Syrphus","Syrphus","Diptera",0,0,"y"
"B219","gf3","damage",2018-07-16,"11:03:00","vetch","Andrena","Andrena","Other Bees",0,0,"y"
"B234","gf3","damage",2018-07-16,"13:21:00","vetch","Bombus griseocollis","Bombus","Bombus",0,1,"y"
"B59","gf3","damage",2018-07-12,"10:35:00","vetch","Bombus vagans","Bombus","Bombus",0,1,"y"
"C107","gf1","control",2018-07-13,"10:32:00","vetch","Bombus griseocollis","Bombus","Bombus",0,1,"y"
"C117","gf1","control",2018-07-13,"13:24:00","vetch","Bombus impatiens","Bombus","Bombus",0,1,"y"
"C210","gf3","damage",2018-07-16,"10:54:00","vetch","Bombus bimaculatus","Bombus","Bombus",0,0,"n"
"C220","gf3","damage",2018-07-16,"13:20:00","vetch","Bombus vagans","Bombus","Bombus",0,0,"n"
"C5","gf1","control",2018-07-11,"10:05:00","vetch","Bombus vagans","Bombus","Bombus",0,1,"y"
"D105","gf1","damage",2018-07-13,"10:28:00","vetch","Bombus impatiens","Bombus","Bombus",0,1,"y"
"D106","gf1","damage",2018-07-13,"10:30:00","vetch","Bombus vagans","Bombus","Bombus",0,1,"y"
"D114","gf1","control",2018-07-13,"11:34:00","vetch","Apis mellifera","Apis","Apis",7,0,"y"
"D121","gf1","damage",2018-07-13,"13:09:00","vetch","Bombus vagans","Bombus","Bombus",0,1,"y"
"D127","gf1","control",2018-07-13,"14:21:00","vetch","Bombus vagans","Bombus","Bombus",0,0,"y"
"D14","gf1","damage",2018-07-11,"10:58:00","vetch","Other","Other","Other",0,0,"y"
"D19","gf1","damage",2018-07-11,"11:09:00","vetch","Bombus vagans","Bombus","Bombus",0,1,"y"
"D20","gf1","damage",2018-07-11,"11:10:00","vetch","Andrena","Andrena","Other Bees",0,0,"y"
"D25","gf1","control",2018-07-11,"00:47:00","vetch","Bombus griseocollis","Bombus","Bombus",0,1,"y"
"D30","gf1","control",2018-07-11,"13:09:00","vetch","Apis mellifera","Apis","Apis",1,0,"y"
"D32","gf1","damage",2018-07-11,"13:50:00","vetch","Apis mellifera","Apis","Apis",0,0,"y"
"D36","gf1","damage",2018-07-11,"14:03:00","vetch","Bombus griseocollis","Bombus","Bombus",0,0,"y"
"D67","gf3","damage",2018-07-12,"00:10:00","vetch","Bombus impatiens","Bombus","Bombus",0,1,"y"
"D70","gf3","damage",2018-07-12,"00:23:00","vetch","Bombus griseocollis","Bombus","Bombus",0,0,"y"
"D75","gf3","control",2018-07-12,"13:13:00","vetch","Apis mellifera","Apis","Apis",0,0,"n"
"D78","gf3","control",2018-07-12,"13:27:00","vetch","Bombus impatiens","Bombus","Bombus",0,0,"y"
"D9","gf1","control",2018-07-11,"10:08:00","vetch","Apis mellifera","Apis","Apis",10,0,"y"
